Title,Latitude,Longitude,Region,Country,Zone Type,Zone Specialization,Management Type,Management Company,SEZ Framework,Nearest Airport,Nearest Airport Distance (km),airportlat,airportlong,Capital City,Capital City Distance (km),capitallat,capitallong,Nearest Port,Nearest Port Distance (km),Note,URL,Populous City,Populous City Distance (km),portlat,portlong,Size (Hectares),size_class,Source,Status,ID,Created,Created By,Modified,Modified By
"Vsip Bac Ninh Industrial Zone","21.0781313","105.9667112","Southeast Asia","Vietnam","Diversified Zone",,"Public-Private Partnership","VSIP JSC, Bac Ninh Industrial Zones Authority","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","23","21.2212009","105.8069992","Hanoi","13.1","21.0333","105.85","Hanoi","12.2",,"http://izabacninh.gov.vn/en/xem-tin-tuc/bac-ninh-industrial-zones-4/vsip-bac-ninh-urban-industrial-park-6560.html","Bắc Ninh","16.6","21.02933","105.8621","500","5",,"Active","5119","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Lạc Thịnh Industrial Zone","20.4059954","105.5664455","Southeast Asia","Vietnam","Diversified Zone",,"Public-Private Partnership","Vietnam Urban And Industrial Zone Investment Development Corporation (IDICO)","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","94.1","21.2212009","105.8069992","Hanoi","75.8","21.0333","105.85","Hanoi","75.9",,"http://www.idico.com.vn/en/about.html","Phu Ly","39.3","21.02933","105.8621","136","5",,"Active","5120","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Yen My Ii Industrial Park","20.8771733","106.0398389","Southeast Asia","Vietnam","Diversified Zone",,"Public","Pho Noi A Industrial Zone Operation Management Company.","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","45.3","21.2212009","105.8069992","Hanoi","26.3","21.0333","105.85","Hanoi","25.1","yenmy2-ip.com.vn","http://investvietnam.gov.vn/en/industrial-zones.pd/yen-my-ii-industrial-park.html","Hanoi","26.3","21.02933","105.8621","97.5","4",,"Active","5121","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Yen My Industrial Zone","20.8861904","106.028204","Southeast Asia","Vietnam","Diversified Zone",,"Public-Private Partnership","Viglacera Yen My - Hung Yen Industrial Zone Development Joint Stock Company.","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","43.8","21.2212009","105.8069992","Hanoi","24.7","21.0333","105.85","Hanoi","23.5",,"http://investvietnam.gov.vn/en/industrial-zones.pd/yen-my-industrial-park.html, https://viglaceraip.com/projects/industrial-parks/yen-industrial-park-hung-yen-province/","Hanoi","24.7","21.02933","105.8621","280","5",,"Under Development","5122","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Châu Sơn (Phu Ly) Industrial Estate","20.5693234","105.9655809","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Hoa Phat Urban Development & Construction JSC","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","74.4","21.2212009","105.8069992","Hanoi","53","21.0333","105.85","Hanoi","52.3",,"http://www.chothuexuong.com.vn/en/hung-yen-industrial-park/chau-son-industrial-zone/","Phu Ly","6.2","21.02933","105.8621","170","5",,"Active","5123","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Ba Thien Industrial Estate","21.3136193","105.6943667","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Compal Infrastructure Development And Management Co.,Ltd","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","15.6","21.2212009","105.8069992","Hanoi","35.1","21.0333","105.85","Hanoi","36.1","https://www.tdc-vietnam.com/factory/area/detail/109/","http://banqlkcn.vinhphuc.gov.vn/Pages/Default.aspx","Vinh Yên","9.3","21.02933","105.8621","321","5",,"Active","5124","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Đồng Văn - Duy Tiên Industrial Estate","20.6407264","105.9162881","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Ha Nam Development JSC","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","65.6","21.2212009","105.8069992","Hanoi","44.2","21.0333","105.85","Hanoi","43.6","https://www.tdc-vietnam.com/eng/factory/area/detail/168/","http://btd.co.jp/kcn-dong-van-ii/","Phu Ly","10.6","21.02933","105.8621","138","5",,"Active","5125","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Bỉm Sơn A Industrial Zone","20.1095904","105.8466638","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Management Board of NGHI Son Economic Zone and Indutrial Parks","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Cat Bi International Airport","121","20.8194008","106.7249985","Hanoi","102.8","21.0333","105.85","Haiphong","122","http://nghison.gov.vn/cackhucongnghiep/bimson/Pages/default.aspx","https://tniholdings.vn/industrial_area/bim-son-163ha/","Ninh Bình","21","20.86833","106.6905","163.36","5",,"Active","5126","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Bỉm Sơn B Industrial Zone","20.1095954","105.8444751","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Management Board of NGHI Son Economic Zone and Indutrial Parks","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Cat Bi International Airport","121.1","20.8194008","106.7249985","Hanoi","102.8","21.0333","105.85","Haiphong","122.1",,"http://nghison.gov.vn/cackhucongnghiep/bimson/Pages/default.aspx","Ninh Bình","21.1","20.86833","106.6905","222","5",,"Active","5127","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Bình Nghi Industrial Zone","13.8865239","108.9680911","Southeast Asia","Vietnam","Export Processing Zone",,"Public","Binh Dinh Economic Zone Administration","Decree No.82/2018/ND-CP","Phu Cat Airport","11","13.9549999","109.0419998","Hanoi","861.6","21.0333","105.85","Qui Nhon","32.3",,"http://kkt.kktbinhdinh.vn/en/3012_industrial-zones.aspx%23.VKDRUsgIg","Quy Nhon","25.8","13.76643","109.2405","228","5",,"Under Development","5128","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
